requirement	raw_artefact	raw_value_observed	verification_command	pass
GATE 0 warrant present	evidence/W28A-745/current/00-reading-proof.md	RULES_REREAD: YES; AGENT-LESSONS-REREAD: YES; AGENT_BOOTSTRAP_DIRECTIVE_REREAD: YES; GATE_0_WARRANT_EMITTED: YES	grep -E 'RULES_REREAD: YES|AGENT-LESSONS-REREAD: YES|AGENT_BOOTSTRAP_DIRECTIVE_REREAD: YES|GATE_0_WARRANT_EMITTED: YES' evidence/W28A-745/current/00-reading-proof.md	PASS
Accepted W28A-742 Thread-B template consumed	evidence/W28A-745/current/00-reading-proof.md	IDAM-B6 template sha256_12=cea1efeba2ee; W28A-936 accepted audit sha256_12=c37e20c2f0b6	grep -F 'IDAM-B6 template' evidence/W28A-745/current/00-reading-proof.md && grep -F 'W28A-936 accepted audit' evidence/W28A-745/current/00-reading-proof.md	PASS
Run only W28A-745 git-mcp service lane	evidence/W28A-745/current/g7-deploy/terraform-targeted-apply.log	terraform targets docker_image.gitmcpserver and docker_container.gitmcpserver0	grep -E 'docker_image.gitmcpserver|docker_container.gitmcpserver0' evidence/W28A-745/current/g7-deploy/terraform-targeted-apply.log	PASS
W28A-936 and W28A-937 tails classified	evidence/W28A-745/current/00A-936-937-service-tail-classification.tsv	W28A-937 READ_ONLY_CLASSIFIED; W28A-936 rows FOLDED_LIVE/ALREADY_ON_MAIN	grep -E 'W28A-937.*READ_ONLY_CLASSIFIED|FOLDED_LIVE|ALREADY_ON_MAIN' evidence/W28A-745/current/00A-936-937-service-tail-classification.tsv	PASS
Requirements map covers each gate	evidence/W28A-745/current/requirements-map.tsv	all final status values are PASS	awk -F'\t' 'NR>1 && $NF!="PASS"{bad=1} END{exit bad}' evidence/W28A-745/current/requirements-map.tsv	PASS
Current and historical evidence split	evidence/W28A-745/historical/g8-live/live-preprod-acceptance.log	historical stale live probes moved out of current; current contains live-current-pass.log	test -f evidence/W28A-745/historical/g8-live/live-preprod-acceptance.log && test -f evidence/W28A-745/current/g8-live/live-current-pass.log	PASS
Final Evidence Matrix present	evidence/W28A-745/current/FINAL-PROOF.md	Evidence Matrix header with Requirement, Raw artefact, Raw value observed, Verification command, Pass	grep -F '| Requirement | Raw artefact (path) | Raw value observed | Verification command | Pass |' evidence/W28A-745/current/FINAL-PROOF.md	PASS
Thread-B b-3 roles and use cases documented	docs/ROLES-AND-USECASES.md	file added in source commit e140800a7223139ab6fb5ba7319c6e1976ad69ea	git show --name-status --format='' e140800a7223139ab6fb5ba7319c6e1976ad69ea -- docs/ROLES-AND-USECASES.md	PASS
Thread-B b-4 data model documented	docs/DATA-MODEL.md	file added in source commit e140800a7223139ab6fb5ba7319c6e1976ad69ea	git show --name-status --format='' e140800a7223139ab6fb5ba7319c6e1976ad69ea -- docs/DATA-MODEL.md	PASS
Thread-B b-5 API documented	docs/API.md	file added in source commit e140800a7223139ab6fb5ba7319c6e1976ad69ea	git show --name-status --format='' e140800a7223139ab6fb5ba7319c6e1976ad69ea -- docs/API.md	PASS
Thread-B b-7 requirements and test docs updated	docs/REQUIREMENTS.md; docs/TESTS.md	both modified in source commit e140800a7223139ab6fb5ba7319c6e1976ad69ea	git show --name-status --format='' e140800a7223139ab6fb5ba7319c6e1976ad69ea -- docs/REQUIREMENTS.md docs/TESTS.md	PASS
T0 ToolRegistry audit chokepoint	g3-pytest/w28a-745-focused-t0-t3.log; g8-live/live-mcp-toolcall-audit.log	5 passed; live audit event git_mcp.admin_api_key_list outcome success	grep -F '5 passed' evidence/W28A-745/current/g3-pytest/w28a-745-focused-t0-t3.log && grep -F 'outcome": "success"' evidence/W28A-745/current/g8-live/live-mcp-toolcall-audit.log	PASS
T1 API auth and IDAM contract	g3-pytest/w28a-745-focused-t0-t3.log	5 passed including e2e API contract	grep -F '5 passed' evidence/W28A-745/current/g3-pytest/w28a-745-focused-t0-t3.log	PASS
T2 secret masking	g3-pytest/w28a-745-focused-t0-t3.log	5 passed including secret mask test	grep -F '5 passed' evidence/W28A-745/current/g3-pytest/w28a-745-focused-t0-t3.log	PASS
T3 cascade grant and revoke	g3-pytest/w28a-745-focused-t0-t3.log	5 passed including cascade group profile grant add/remove	grep -F '5 passed' evidence/W28A-745/current/g3-pytest/w28a-745-focused-t0-t3.log	PASS
QT security gate	g3-pytest/qt-security.log	62 passed	grep -F '62 passed' evidence/W28A-745/current/g3-pytest/qt-security.log	PASS
Unit gate	g3-pytest/unit.log	177 passed	grep -F '177 passed' evidence/W28A-745/current/g3-pytest/unit.log	PASS
System gate	g3-pytest/system.log	23 passed	grep -F '23 passed' evidence/W28A-745/current/g3-pytest/system.log	PASS
Integration gate	g3-pytest/integration.log	28 passed	grep -F '28 passed' evidence/W28A-745/current/g3-pytest/integration.log	PASS
Application gate	g3-pytest/application.log	9 passed	grep -F '9 passed' evidence/W28A-745/current/g3-pytest/application.log	PASS
Local native service health	g2-local-service/local-health.log	http://127.0.0.1:19031/health http_code=200; 19034/health present	grep -F 'http_code=200' evidence/W28A-745/current/g2-local-service/local-health.log && grep -F '19034/health' evidence/W28A-745/current/g2-local-service/local-health.log	PASS
Docker build latest	g4-build/docker-build-dev.log	Build OK and registry latest tag recorded	grep -F 'Build OK: cloud-dog/git-mcp-server:latest' evidence/W28A-745/current/g4-build/docker-build-dev.log && grep -F 'registry.cloud-dog.net:443/cloud-dog/git-mcp-server:latest' evidence/W28A-745/current/g4-build/docker-build-dev.log	PASS
Local Docker smoke	g5-docker/local-docker-smoke.log	HEALTH CHECK PASSED	grep -F 'HEALTH CHECK PASSED' evidence/W28A-745/current/g5-docker/local-docker-smoke.log	PASS
